tst,question,area,text,modifier
43,1,Rinka ir valstybė: reguliuojama rinka – laisva rinka,Valstybė turi kiek įmanoma mažiau kištis į ekonomiką,1
43,2,Rinka ir valstybė: reguliuojama rinka – laisva rinka,Lietuvoje turi būti įsteigtas Valstybinis komercinis bankas,-1
43,3,Rinka ir valstybė: reguliuojama rinka – laisva rinka,"Mokesčiai verslui turėtų turi būti mažinami, net jeigu dėl to mažės valstybės biudžeto pajamos",1
43,4,Rinka ir valstybė: reguliuojama rinka – laisva rinka,Darbas pagal individualią veiklą ir pagal darbo sutartį turi būti apmokestintas taip pat,0
43,5,Rinka ir valstybė: reguliuojama rinka – laisva rinka,"Valstybė turi didinti mokesčius didesnes pajamas gaunantiems gyventojams tam, kad Lietuvoje mažėtų pajamų nelygybė",-1
43,6,Rinka ir valstybė: reguliuojama rinka – laisva rinka,"Nepaisant mažėjančio vaikų skaičiaus kai kuriuose regionuose, reikia stengtis išlaikyti mokyklas mažuose miesteliuose",-1
43,7,Rinka ir valstybė: reguliuojama rinka – laisva rinka,"Valstybė turi didinti pelno mokestį verslui, kad būtų suteikta daugiau viešųjų paslaugų ir išplėsta socialinė parama",-1
43,8,Rinka ir valstybė: reguliuojama rinka – laisva rinka,Lietuva turi įteisinti 4 darbo dienų (32 darbo valandų) savaitės normą,-1
43,9,Visuomenė: konservatyvumas - progresyvumas,Lietuva turi ratifikuoti Stambulo konvenciją dėl smurto prieš moteris ir smurto artimoje aplinkoje,1
43,10,Visuomenė: konservatyvumas - progresyvumas,Tos pačios lyties asmenų poros turi turėti tokią pat teisę tuoktis kaip ir heteroseksualios poros,1
43,11,Visuomenė: konservatyvumas - progresyvumas,Marihuanos vartojimas rekreaciniais tikslais turi būti legalizuotas,1
43,12,Visuomenė: konservatyvumas - progresyvumas,"Valstybė turi reikšmingai didinti finansinę paramą šeimoms, auginančioms vaikus",-1
43,13,Visuomenė: konservatyvumas - progresyvumas,"Visose sprendimų priėmimo srityse turi būti skatinama lyčių lygybė, pvz., taikant tokias priemones kaip lyčių kvotos",1
43,14,Visuomenė: konservatyvumas - progresyvumas,Imigracijos srautai į Lietuvą turi būti mažinami,-1
43,15,Visuomenė: konservatyvumas - progresyvumas,Bausmės nusikaltėliams turi būti griežtinamos,-1
43,16,Visuomenė: konservatyvumas - progresyvumas,"Žmonėms, neturintiems bazinių lietuvių kalbos žinių, turėtų būti draudžiama dirbti paslaugų sektoriuje",-1
43,17,Ekologija: gamta kaip išteklius – gamta kaip gyvybė Ašies,Miškų kirtimai Lietuvoje turi būti griežčiau ribojami,1
43,18,Ekologija: gamta kaip išteklius – gamta kaip gyvybė Ašies,Lietuva turi mažinti aplinkosauginius ribojimus žemės ūkio sektoriui,-1
43,19,Ekologija: gamta kaip išteklius – gamta kaip gyvybė Ašies,Lietuva turi didinti ir plėsti aplinkosauginius mokesčius,1
43,20,Ekologija: gamta kaip išteklius – gamta kaip gyvybė Ašies,Lietuvos saugomose teritorijose ūkinė veikla turi būti labiau ribojama,1
43,21,Ekologija: gamta kaip išteklius – gamta kaip gyvybė Ašies,"Iki 2050 m. Lietuva turi tapti klimatui neutralia šalimi (į atmosferą išmetanti tik tiek šiltnamio efektą sukeliančių dujų, kiek gali absorbuoti gamta)",1
43,22,Ekologija: gamta kaip išteklius – gamta kaip gyvybė Ašies,Pirminių žaliavų naudojimas turi būti apmokestintas skatinant didesnį antrinių žaliavų naudojimą,1
43,23,Ekologija: gamta kaip išteklius – gamta kaip gyvybė Ašies,Rengdama nacionalinį Gamtos atkūrimo planą Lietuva turi derėtis su ES dėl mažesnių ekologinių įsipareigojimų,-1
43,24,Užsienio ir gynybos politika,"Ukraina turi būti kuo greičiau priimta į Europos Sąjungą, net jei dėl to Lietuva taps šalimi donore",1
43,25,Užsienio ir gynybos politika,Baltarusijos ir Rusijos piliečiams turi būti taikomi vienodi imigracijos ribojimai,1
43,26,Užsienio ir gynybos politika,Lietuvoje turi būti įvestas privalomas visuotinis šaukimas,1
43,27,Užsienio ir gynybos politika,Lietuva turi dėti pastangas atkurti politinius santykius su Kinija,-1
43,28,Užsienio ir gynybos politika,Lietuvoje reikia dislokuoti daugiau NATO karių,1
43,29,Užsienio ir gynybos politika,Lietuvos gynybos biudžetas turi būti didinimas iki 4 proc. nuo bendro vidaus produkto (BVP),1
43,30,Užsienio ir gynybos politika,"Siekiant didinti gynybos biudžetą, valstybė turi padidinti pridėtinės vertės mokestį (PVM) visiems gyventojams",0
43,31,Užsienio ir gynybos politika,"Siekiant didinti gynybos biudžetą, valstybė turi dar labiau didinti pelno mokestį verslui",0
43,32,Kiti klausimai,Europos vadovų taryboje Lietuvai turi atstovauti Ministras Pirmininkas,0
43,33,Kiti klausimai,"Formuojant naują vyriausybę, prezidentas turi turėti teisę atmesti konkrečius jam netinkančius kandidatus į ministrus",0
43,34,Kiti klausimai,Nacionalinė valdžia turi suteikti daugiau galių savivaldybėms,0
43,35,Kiti klausimai,"Savivaldybės tarybos nariai turėtų būti renkami mišriu principu, dalį tarybos narių renkant tiesiogiai seniūnijose",0
43,36,Kiti klausimai,ES ir NATO priklausančių valstybių pilietybę įgijusiems lietuviams turi būti leidžiama išsaugoti Lietuvos pilietybę,0
43,37,Kiti klausimai,"Reikia riboti dirbtiniu intelektu grįstų realiojo laiko biometrinio tapatybės nustatymo (pvz., veido atpažinimo) sistemų naudojimą viešose vietose",0
43,38,Kiti klausimai,Vilniuje reikia pastatyti paminklą poetui Justinui Marcinkevičiui,0
